latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
59.874,108.073,311.9,1.3,1.1,2021-08-31,0345,T,56,6.1NRT,294.3,11.3,D
59.915,107.53,313,1.4,1.2,2021-08-31,0345,T,73,6.1NRT,293.3,15.6,D
59.912,107.554,309,1.3,1.2,2021-08-31,0345,T,68,6.1NRT,292.4,11.3,D
59.755,108.859,313.5,1.2,1.1,2021-08-31,0345,T,27,6.1NRT,292.7,12.5,D
59.755,108.854,314.2,1.2,1.1,2021-08-31,0345,T,29,6.1NRT,292.5,12.6,D
59.699,109.382,309.7,1.2,1.1,2021-08-31,0345,T,68,6.1NRT,291.8,10.2,D
59.737,108.935,320.5,1.2,1.1,2021-08-31,0345,T,80,6.1NRT,293.7,20.1,D
59.734,108.957,323.7,1.2,1.1,2021-08-31,0345,T,83,6.1NRT,294.9,24.8,D
59.689,109.378,304.6,1.2,1.1,2021-08-31,0345,T,51,6.1NRT,291.4,6.2,D
59.725,108.953,325.8,1.2,1.1,2021-08-31,0345,T,70,6.1NRT,295.1,26.8,D
59.682,108.272,306.9,1.3,1.1,2021-08-31,0345,T,49,6.1NRT,294.2,5.4,D
59.636,108.208,308.1,1.3,1.1,2021-08-31,0345,T,50,6.1NRT,295.1,6,D
59.629,108.082,309.5,1.3,1.1,2021-08-31,0345,T,62,6.1NRT,294.8,9.1,D
59.247,107.075,306.4,1.4,1.2,2021-08-31,0345,T,60,6.1NRT,294.5,7.9,D
59.245,107.099,305.1,1.4,1.2,2021-08-31,0345,T,37,6.1NRT,294.1,6.1,D
59.205,107.183,304.8,1.4,1.2,2021-08-31,0345,T,54,6.1NRT,294.2,6.5,D
59.189,106.826,326.8,1.4,1.2,2021-08-31,0345,T,78,6.1NRT,295.5,33.2,D
59.184,106.875,319.2,1.4,1.2,2021-08-31,0345,T,67,6.1NRT,295.7,20.3,D
59.182,106.899,315,1.4,1.2,2021-08-31,0345,T,42,6.1NRT,294.1,13.7,D
59.124,106.954,313.5,1.4,1.2,2021-08-31,0345,T,67,6.1NRT,295,13.3,D
59.122,106.797,313,1.4,1.2,2021-08-31,0345,T,30,6.1NRT,295.3,9.4,D
59.122,106.673,312.7,1.4,1.2,2021-08-31,0345,T,24,6.1NRT,295.2,12.2,D
59.112,106.67,319.1,1.4,1.2,2021-08-31,0345,T,78,6.1NRT,295.8,22.1,D
59.095,106.739,321,1.4,1.2,2021-08-31,0345,T,70,6.1NRT,298.1,23.2,D
57.709,115.682,304,1,1,2021-08-31,0345,T,40,6.1NRT,291.9,4.5,D
58.792,106.033,332,1.5,1.2,2021-08-31,0345,T,46,6.1NRT,295.3,44.7,D
58.785,105.979,337,1.5,1.2,2021-08-31,0345,T,70,6.1NRT,293.8,57.8,D
58.783,106.004,358.2,1.5,1.2,2021-08-31,0345,T,99,6.1NRT,297.9,131.5,D
58.774,105.976,322.4,1.5,1.2,2021-08-31,0345,T,44,6.1NRT,294.4,25.8,D
58.766,106.077,363.9,1.5,1.2,2021-08-31,0345,T,100,6.1NRT,300.6,156.5,D
58.764,106.102,338.3,1.5,1.2,2021-08-31,0345,T,91,6.1NRT,297.7,60.4,D
58.762,106.128,322.4,1.5,1.2,2021-08-31,0345,T,69,6.1NRT,295.2,26.4,D
58.781,105.768,323.6,1.5,1.2,2021-08-31,0345,T,65,6.1NRT,293.7,29.7,D
58.778,105.794,366.7,1.5,1.2,2021-08-31,0345,T,100,6.1NRT,297,179.6,D
58.776,105.819,339.9,1.5,1.2,2021-08-31,0345,T,91,6.1NRT,297,66.6,D
58.774,105.844,322,1.5,1.2,2021-08-31,0345,T,71,6.1NRT,294.4,26.6,D
58.732,106.092,327.5,1.5,1.2,2021-08-31,0345,T,48,6.1NRT,298.1,32.1,D
58.757,105.754,317.5,1.5,1.2,2021-08-31,0345,T,46,6.1NRT,295.3,16.7,D
58.729,106.085,319.8,1.5,1.2,2021-08-31,0345,T,38,6.1NRT,297.7,21,D
58.727,106.111,322.6,1.5,1.2,2021-08-31,0345,T,81,6.1NRT,295,27.7,D
58.712,106.029,316.6,1.5,1.2,2021-08-31,0345,T,35,6.1NRT,294.4,18.1,D
58.688,105.654,319.3,1.5,1.2,2021-08-31,0345,T,46,6.1NRT,295,21.2,D
58.677,105.651,361.2,1.5,1.2,2021-08-31,0345,T,100,6.1NRT,297.8,152.9,D
